id	official_tokens	generated_model_tokens	scored_tokens	generated_runtime_tokens	nll	avg_nll	first_match	lcp	gen_tps	acceptance_pct	output_file
case_047	24	128	24	128	5.925040213	0.246876676	0	0	31.801803	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_047.txt
case_048	24	128	24	128	2.935497398	0.122312392	1	15	31.677029	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_048.txt
case_049	24	128	24	128	7.118778901	0.296615788	1	2	31.782268	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_049.txt
case_050	24	128	24	128	5.414336018	0.225597334	1	18	31.830716	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_050.txt
case_051	24	128	24	128	0.989277509	0.041219896	1	8	31.633526	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_051.txt
case_052	24	128	24	128	5.007570601	0.208648775	0	0	31.811382	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_052.txt
case_053	24	128	24	128	2.372523251	0.098855135	1	24	31.797308	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_053.txt
case_054	24	128	24	128	4.393430192	0.183059591	0	0	31.802127	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_054.txt
case_055	24	128	24	128	3.653256370	0.152219015	1	2	31.795262	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_055.txt
case_056	24	128	24	128	2.542589855	0.105941244	0	0	31.784028	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_056.txt
case_057	24	128	24	128	7.132340302	0.297180846	0	0	31.782520	0.000	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_057.txt
