id	byte_equal	base_generated	candidate_generated	base_tps	candidate_tps	speedup	candidate_acceptance_pct	char_lcp	token_lcp	candidate_max_repeated_line_run	base_output	candidate_output
case_054	1	128	128	31.802127	26.761273	0.841493	38.605	431	64	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_054.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_054.txt
case_055	1	128	128	31.795262	25.215072	0.793045	34.632	500	70	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_055.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_055.txt
case_056	1	128	128	31.784028	26.271801	0.826572	35.808	486	73	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_056.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_056.txt
case_057	1	128	128	31.782520	25.050625	0.788189	39.437	443	75	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_057.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_057.txt
case_058	1	128	128	31.637724	30.253439	0.956246	47.368	446	74	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_058.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_058.txt
case_059	1	128	128	31.765554	26.602930	0.837477	43.939	486	74	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_059.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_059.txt
case_060	1	128	128	31.714066	39.039947	1.230998	76.515	405	63	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_060.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_060.txt
case_061	1	128	128	31.653888	26.175516	0.826929	39.720	596	100	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_061.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_061.txt
case_062	1	128	128	31.801566	28.664383	0.901351	47.594	620	87	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_062.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_062.txt
case_063	1	128	128	31.826134	34.681627	1.089722	72.993	465	68	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_063.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_063.txt
case_064	1	128	128	31.838064	30.316847	0.952220	52.571	528	95	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_064.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_064.txt
case_065	1	128	128	31.810007	28.799238	0.905352	40.476	536	96	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_065.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_065.txt
case_066	1	128	128	31.789269	28.571607	0.898782	37.727	579	84	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_066.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_066.txt
case_067	1	128	128	31.830463	28.153209	0.884474	37.387	615	108	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_067.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_067.txt
case_068	1	128	128	31.826585	25.652444	0.806007	30.435	619	94	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_068.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_068.txt
case_069	1	128	128	31.722814	25.049865	0.789648	36.444	610	98	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_069.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_069.txt
case_070	1	128	128	31.812695	29.971359	0.942119	53.143	424	75	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_070.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_070.txt
case_071	1	128	128	31.685631	29.174561	0.920751	42.439	482	77	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_071.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_071.txt
case_072	1	128	128	31.816965	23.712183	0.745269	34.483	510	77	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_072.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_072.txt
case_073	1	128	128	31.764900	31.007098	0.976143	60.000	440	63	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_073.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_073.txt
case_074	1	128	128	31.841493	28.252304	0.887280	41.951	453	71	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_074.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_074.txt
case_075	1	128	128	31.772611	27.815348	0.875450	42.786	426	68	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_075.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_075.txt
case_076	1	128	128	31.803858	28.618784	0.899853	45.550	466	65	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_076.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_076.txt
case_077	1	128	128	31.783664	26.124715	0.821954	41.063	481	72	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_077.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_077.txt
case_078	1	128	128	31.601107	25.588787	0.809743	36.161	473	68	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_078.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_078.txt
case_079	1	128	128	31.761621	24.125821	0.759590	27.138	458	76	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_079.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_079.txt
case_080	1	16	16	31.869018	25.573772	0.802465	32.258	84	14	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_080.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_080.txt
case_081	1	128	128	31.632971	30.204544	0.954844	46.114	580	99	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_081.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_081.txt
case_082	1	128	128	31.821806	33.303490	1.046562	60.127	576	85	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_082.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_082.txt
case_083	1	24	24	31.657842	34.489052	1.089432	70.370	106	15	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_083.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_083.txt
case_084	1	21	21	31.568219	32.735418	1.036974	80.952	106	16	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_084.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_084.txt
case_085	1	109	109	31.758769	26.587713	0.837177	38.919	653	88	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_085.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_085.txt
case_086	1	128	128	31.886921	27.722237	0.869392	36.283	659	106	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_086.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_086.txt
case_087	1	128	128	31.688777	27.710702	0.874464	37.727	592	90	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_087.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_087.txt
case_088	1	128	128	31.846920	26.528976	0.833015	32.773	573	80	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_088.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_088.txt
case_089	1	128	128	31.828184	27.867883	0.875573	39.906	523	92	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_089.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_089.txt
case_090	1	128	128	31.827922	28.223349	0.886748	41.748	621	90	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_090.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_090.txt
case_091	1	128	128	31.835205	27.848160	0.874760	49.180	583	104	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_091.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_091.txt
case_092	1	128	128	31.830922	31.277842	0.982624	56.024	521	80	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_092.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_092.txt
case_093	1	128	128	31.746103	27.663534	0.871399	43.500	595	99	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_093.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_093.txt
case_094	1	7	7	31.916543	26.794156	0.839507	85.714	30	6	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_094.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_094.txt
case_095	1	13	13	31.718070	33.280511	1.049260	91.667	36	6	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_095.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_095.txt
case_096	1	11	11	31.767026	32.192075	1.013380	60.000	49	8	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_096.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_096.txt
case_097	1	10	10	31.696625	35.483013	1.119457	100.000	33	6	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_097.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_097.txt
case_098	1	8	8	31.735201	26.398197	0.831827	50.000	17	5	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_098.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_098.txt
case_099	1	15	15	31.962497	35.013679	1.095461	80.000	54	9	1	bench-results/dspark_quality_20260630_090516/no_draft/outputs/case_099.txt	bench-results/dspark_quality_20260630_090516/strict_byte/outputs/case_099.txt
