id	official_tokens	generated_model_tokens	scored_tokens	generated_runtime_tokens	nll	avg_nll	first_match	lcp	gen_tps	acceptance_pct	output_file
case_083	17	58	17	58	2.586351089	0.152138299	0	0	41.797645	84.615	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_083.txt
case_084	11	21	11	21	5.182814019	0.471164911	0	0	34.196830	75.000	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_084.txt
case_085	24	128	24	128	23.621888976	0.984245374	1	12	31.238217	61.053	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_085.txt
case_086	24	128	24	128	12.725726954	0.530238623	0	0	30.222444	61.538	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_086.txt
case_087	24	128	24	128	10.592061176	0.441335882	1	3	30.695458	61.340	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_087.txt
case_088	24	128	24	128	10.355275549	0.431469815	0	0	32.362664	70.000	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_088.txt
case_089	24	128	24	128	5.624791366	0.234366307	1	3	35.175765	71.515	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_089.txt
case_090	24	128	24	128	4.180722822	0.174196784	0	0	31.947375	66.474	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_090.txt
case_091	24	128	24	128	7.644112028	0.318504668	0	0	33.641733	69.412	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_091.txt
case_092	24	128	24	128	9.884489462	0.411853728	1	17	40.168406	81.333	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_092.txt
case_093	24	128	24	128	11.226151437	0.467756310	0	0	29.323014	61.749	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_093.txt
case_094	1	8	1	8	0.074605606	0.074605606	0	0	36.224665	80.000	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_094.txt
case_095	13	13	13	13	0.205790978	0.015830075	1	13	43.460383	100.000	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_095.txt
case_096	6	29	6	29	16.856468958	2.809411493	0	0	29.537885	62.791	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_096.txt
case_097	11	10	10	10	0.092955994	0.009295599	1	8	29.109116	71.429	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_097.txt
case_098	8	22	8	22	12.442580871	1.555322609	1	6	35.685436	78.571	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_098.txt
case_099	15	39	15	39	4.509868458	0.300657897	1	1	34.720553	72.000	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_099.txt
