mode	id	prompt_tokens	generated_tokens	decode_s	gen_tps	draft_slots	draft_accepted	draft_blocks	acceptance_pct	byte_equal_vs_no_draft	char_lcp_vs_no_draft	token_lcp_vs_no_draft	chars	words	lines	max_repeated_line_run	early_stop	output_file
fast_relaxed	case_053	22	128	2.901157	44.120329	149	127	30	85.235	0	26	4	441	51	23	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_053.txt
fast_relaxed	case_054	24	128	4.263556	30.021888	196	112	44	57.143	0	31	5	426	62	13	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_054.txt
fast_relaxed	case_055	25	128	4.749335	26.951142	204	112	46	54.902	0	11	2	509	75	10	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_055.txt
fast_relaxed	case_056	18	128	4.367282	29.308847	186	113	45	60.753	0	49	7	488	75	5	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_056.txt
fast_relaxed	case_057	22	128	4.699325	27.237954	199	110	46	55.276	0	0	0	508	71	5	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_057.txt
fast_relaxed	case_058	25	128	3.694577	34.645373	168	121	37	72.024	0	59	9	416	69	10	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_058.txt
fast_relaxed	case_059	23	128	4.290310	29.834674	191	114	44	59.686	0	7	1	448	70	7	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_059.txt
fast_relaxed	case_060	17	111	2.510343	44.217065	117	108	25	92.308	0	150	22	380	59	15	1	1	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_060.txt
fast_relaxed	case_061	16	128	3.577613	35.778045	171	123	35	71.930	0	0	0	582	100	16	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_061.txt
fast_relaxed	case_062	14	128	3.776367	33.895011	167	119	37	71.257	0	0	0	583	90	16	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_062.txt
fast_relaxed	case_063	15	128	3.129729	40.898110	137	117	29	85.401	0	47	9	447	69	24	2	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_063.txt
fast_relaxed	case_064	12	128	3.560649	35.948503	164	121	35	73.780	0	43	8	564	101	12	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_064.txt
fast_relaxed	case_065	15	128	3.980096	32.160028	189	118	42	62.434	0	37	6	523	92	11	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_065.txt
fast_relaxed	case_066	16	128	4.342762	29.474330	200	110	43	55.000	0	0	0	524	76	23	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_066.txt
fast_relaxed	case_067	17	128	3.609280	35.464137	166	119	35	71.687	0	9	2	630	102	11	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_067.txt
fast_relaxed	case_068	17	128	3.865168	33.116284	166	115	38	69.277	0	9	2	590	91	9	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_068.txt
fast_relaxed	case_069	18	128	3.864656	33.120671	183	122	38	66.667	0	4	0	577	94	9	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_069.txt
fast_relaxed	case_070	24	128	2.871675	44.573289	139	123	29	88.489	0	9	2	468	68	23	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_070.txt
fast_relaxed	case_071	24	128	3.695110	34.640376	175	120	38	68.571	0	37	6	493	73	9	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_071.txt
fast_relaxed	case_072	17	128	3.854960	33.203976	185	120	38	64.865	0	0	0	486	74	6	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_072.txt
fast_relaxed	case_073	15	128	3.313762	38.626793	157	122	32	77.707	0	25	5	465	67	23	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_073.txt
fast_relaxed	case_074	15	128	3.938020	32.503644	175	118	39	67.429	0	56	7	431	68	8	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_074.txt
fast_relaxed	case_075	16	128	4.412926	29.005698	187	111	42	59.358	0	3	1	462	70	11	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_075.txt
fast_relaxed	case_076	22	128	3.978918	32.169550	7	5	2	71.429	0	435	60	464	66	12	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_076.txt
fast_relaxed	case_077	24	128	4.683151	27.332025	216	117	47	54.167	0	11	2	524	79	9	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_077.txt
fast_relaxed	case_078	28	128	4.274497	29.945044	189	116	43	61.376	0	26	3	476	70	9	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_078.txt
fast_relaxed	case_079	20	128	4.380243	29.222123	190	111	43	58.421	0	62	9	462	82	11	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_079.txt
fast_relaxed	case_080	13	38	1.329260	28.587334	54	33	14	61.111	0	24	4	224	31	1	1	1	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_080.txt
fast_relaxed	case_081	13	128	3.193858	40.076923	151	119	31	78.808	0	9	2	493	88	24	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_081.txt
fast_relaxed	case_082	16	84	2.670842	31.450756	110	73	26	66.364	0	0	0	366	57	11	1	1	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_082.txt
fast_relaxed	case_083	19	58	1.387638	41.797645	65	55	14	84.615	0	36	5	249	34	7	1	1	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_083.txt
fast_relaxed	case_084	23	21	0.614092	34.196830	28	21	6	75.000	0	12	3	96	14	3	1	1	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_084.txt
fast_relaxed	case_085	18	128	4.097545	31.238217	190	116	41	61.053	0	50	9	682	102	1	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_085.txt
fast_relaxed	case_086	16	128	4.235263	30.222444	182	112	42	61.538	0	0	0	684	107	1	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_086.txt
fast_relaxed	case_087	12	128	4.169998	30.695458	194	119	42	61.340	0	15	3	585	92	8	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_087.txt
fast_relaxed	case_088	14	128	3.955175	32.362664	10	7	4	70.000	0	21	2	456	63	8	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_088.txt
fast_relaxed	case_089	12	128	3.638869	35.175765	165	118	37	71.515	0	96	16	488	85	14	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_089.txt
fast_relaxed	case_090	17	128	4.006589	31.947375	173	115	39	66.474	0	0	0	625	84	13	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_090.txt
fast_relaxed	case_091	14	128	3.804798	33.641733	170	118	37	69.412	0	2	1	555	100	9	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_091.txt
fast_relaxed	case_092	15	128	3.186584	40.168406	150	122	32	81.333	0	72	17	539	86	24	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_092.txt
fast_relaxed	case_093	17	128	4.365172	29.323014	183	113	42	61.749	0	55	12	564	95	12	1	0	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_093.txt
fast_relaxed	case_094	16	8	0.220844	36.224665	10	8	2	80.000	0	24	5	34	6	1	1	1	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_094.txt
fast_relaxed	case_095	17	13	0.299123	43.460383	14	14	3	100.000	1	36	6	36	6	1	1	1	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_095.txt
fast_relaxed	case_096	15	29	0.981790	29.537885	43	27	9	62.791	0	0	0	96	11	1	1	1	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_096.txt
fast_relaxed	case_097	22	10	0.343535	29.109116	14	10	3	71.429	1	33	6	33	6	1	1	1	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_097.txt
fast_relaxed	case_098	20	22	0.616498	35.685436	28	22	6	78.571	0	13	4	44	11	2	1	1	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_098.txt
fast_relaxed	case_099	22	39	1.123254	34.720553	50	36	11	72.000	0	3	1	123	21	1	1	1	bench-results/dspark_quality_20260630_090516/fast_relaxed/outputs/case_099.txt
